
     0.248         0.080         0.631
     0.249         0.081         0.632
     0.054         0.232         0.517
     0.608         0.207         0.159
     0.514         0.643         0.010
     0.173         0.770         0.712
     0.939         0.491         0.454
     0.113         0.143         0.984
     0.494         0.852         0.430
     0.016         0.400         0.981
     0.552         0.837         0.749
     0.342         0.448         0.471
     0.146         0.163         0.487
     0.916         0.185         0.654
     0.472         0.678         0.882
     0.634         0.039         0.377
     0.290         0.371         0.717
     0.836         0.629         0.757
     0.571         0.742         0.737
     0.607         0.575         0.556
     0.790         0.729         0.544
     0.207         0.661         0.144
     0.746         0.188         0.686
     0.601         0.958         0.464
     0.104         0.232         0.284
     0.401         0.388         0.776
     0.281         0.245         0.295
     0.674         0.181         0.345
     0.323         0.052         0.173
     0.448         0.733         0.425
     0.510         0.919         0.258
     0.406         0.997         0.548
     0.638         0.207         0.733
     0.724         0.009         0.063
     0.457         0.377         0.475
     0.289         0.942         0.321
     0.510         0.855         0.813
     0.042         0.864         0.637
     0.946         0.707         0.076
     0.521         0.596         0.657
     0.592         0.398         0.322
     0.638         0.314         0.409
     0.830         0.256         0.832
     0.762         0.048         0.611
     0.638         0.609         0.850
     0.790         0.275         0.249
     0.158         0.073         0.748
     0.356         0.633         0.500
     0.984         0.600         0.127
     0.507         0.639         0.352
     0.112         0.601         0.432
     0.465         0.729         0.229
     0.496         0.500         0.776
     0.306         0.153         0.539
     0.961         0.582         0.967
     0.489         0.055         0.021
     0.374         0.827         0.329
     0.133         0.254         0.576
     0.034         0.593         0.271
     0.376         0.094         0.389
     0.500         0.642         0.691
     0.973         0.979         0.066
     0.926         0.679         0.422
     0.420         0.301         0.733
     0.651         0.746         0.437
     0.781         0.851         0.201
     0.875         0.290         0.997
     0.244         0.916         0.534
     0.508         0.732         0.301
     0.622         0.315         0.697
     0.539         0.883         0.060
     0.533         0.266         0.295
     0.357         0.924         0.906
     0.880         0.872         0.494
     0.716         0.890         0.825
     0.778         0.940         0.179
     0.281         0.946         0.339
     0.862         0.519         0.267
     0.998         0.244         0.005
     0.616         0.473         0.659
     0.100         0.807         0.406
     0.875         0.743         0.801
     0.224         0.683         0.923
     0.633         0.915         0.318
     0.457         0.772         0.358
     0.288         0.159         0.385
     0.849         0.011         0.509
     0.954         0.709         0.664
     0.369         0.124         0.703
     0.008         0.698         0.710
     0.446         0.479         0.735
     0.307         0.945         0.970
     0.931         0.348         0.833
     0.911         0.151         0.414
     0.228         0.079         0.794
     0.438         0.695         0.509
     0.006         0.507         0.893
     0.291         0.496         0.697
     0.173         0.214         0.370
     0.177         0.671         0.523
     0.083         0.735         0.559
     0.950         0.302         0.302
     0.435         0.092         0.732
     0.844         0.265         0.223
     0.102         0.973         0.581
     0.028         0.706         0.314
     0.006         0.220         0.675
     0.358         0.988         0.307
     0.751         0.310         0.896
     0.911         0.493         0.055
     0.591         0.130         0.193
     0.584         0.863         0.097
     0.429         0.350         0.750
     0.680         0.529         0.945
     0.348         0.787         0.064
     0.896         0.382         0.565
     0.213         0.395         0.654
     0.604         0.928         0.985
     0.860         0.395         0.405
     0.766         0.625         0.811
     0.393         0.504         0.192
     0.669         0.561         0.376
     0.786         0.648         0.803
     0.795         0.786         0.509
     0.545         0.150         0.675
     0.861         0.491         0.365
     0.181         0.219         0.461
     0.854         0.607         0.841
     0.259         0.704         0.808
     0.245         0.806         0.071
     0.341         0.436         0.447
     0.824         0.230         0.114
     0.844         0.560         0.503
     0.003         0.138         0.498
     0.066         0.002         0.831
     0.068         0.466         0.622
     0.478         0.425         0.002
     0.363         0.250         0.527
     0.722         0.918         0.383
     0.959         0.264         0.533
     0.386         0.765         0.111
     0.817         0.564         0.592
     0.702         0.908         0.477
     0.537         0.961         0.448
     0.665         0.209         0.590
     0.817         0.519         0.777
     0.439         0.718         0.835
     0.261         0.797         0.623
     0.255         0.155         0.387
     0.226         0.121         0.111
     0.523         0.122         0.661
     0.518         0.208         0.657
     0.186         0.355         0.794
     0.633         0.925         0.315
     0.848         0.686         0.396
     0.588         0.476         0.958
     0.959         0.576         0.252
     0.051         0.384         0.955
     0.021         0.695         0.614
     0.771         0.104         0.260
     0.733         0.556         0.869
     0.231         0.894         0.052
     0.394         0.848         0.593
     0.488         0.106         0.857
     0.480         0.780         0.395
     0.316         0.671         0.728
     0.889         0.622         0.230
     0.050         0.660         0.815
     0.731         0.533         0.028
     0.986         0.482         0.903
     0.850         0.858         0.553
     0.246         0.897         0.776
     0.640         0.634         0.207
     0.206         0.427         0.101
     0.135         0.933         0.544
     0.265         0.228         0.651
     0.578         0.576         0.399
     0.863         0.646         0.010
     0.914         0.716         0.322
     0.110         0.575         0.650
     0.004         0.925         0.228
     0.985         0.464         0.976
     0.384         0.914         0.757
     0.737         0.722         0.824
     0.053         0.930         0.787
     0.876         0.809         0.097
     0.058         0.414         0.743
     0.307         0.790         0.184
     0.455         0.714         0.214
     0.529         0.220         0.707
     0.687         0.329         0.003
     0.674         0.904         0.414
     0.787         0.957         0.667
     0.106         0.306         0.119
     0.562         0.464         0.868
     0.957         0.344         0.230
     0.615         0.233         0.126
     0.841         0.833         0.924
     0.972         0.770         0.624
     0.327         0.178         0.001
     0.729         0.250         0.980
     0.035         0.480         0.181
     0.664         0.431         0.770
     0.244         0.754         0.878
     0.608         0.689         0.961
     0.977         0.033         0.518
     0.143         0.787         0.187
     0.027         0.156         0.189
     0.831         0.907         0.733
     0.509         0.204         0.401
     0.734         0.675         0.005
     0.497         0.834         0.284
     0.064         0.641         0.118
     0.431         0.356         0.327
     0.313         0.267         0.732
     0.677         0.262         0.622
     0.948         0.627         0.545
     0.150         0.346         0.068
     0.651         0.120         0.600
     0.549         0.137         0.979
     0.352         0.004         0.308
     0.950         0.537         0.526
     0.096         0.146         0.410
     0.849         0.330         0.554
     0.772         0.892         0.489
     0.027         0.546         0.246
     0.452         0.256         0.681
     0.483         0.336         0.372
     0.335         0.522         0.309
     0.020         0.668         0.768
     0.019         0.919         0.559
     0.789         0.471         0.434
     0.535         0.350         0.674
     0.291         0.382         0.346
     0.824         0.657         0.300
     0.899         0.017         0.265
     0.146         0.930         0.567
     0.482         0.901         0.542
     0.428         0.334         0.656
     0.174         0.864         0.283
     0.920         0.591         0.915
     0.893         0.881         0.104
     0.547         0.852         0.139
     0.249         0.489         0.044
     0.880         0.537         0.721
     0.111         0.742         0.709
     0.319         0.412         0.144
     0.834         0.684         0.210
     0.687         0.702         0.391
     0.817         0.044         0.763
     0.007         0.787         0.683
     0.114         0.373         0.348
     0.008         0.848         0.272
     0.312         0.751         0.378
     0.085         0.373         0.143
     0.728         0.878         0.744
     0.791         0.968         0.192
     0.853         0.363         0.894
     0.335         0.961         0.548
     0.414         0.460         0.194
     0.420         0.304         0.072
     0.190         0.685         0.111
     0.881         0.489         0.738
     0.842         0.558         0.877
     0.904         0.700         0.703
     0.609         0.218         0.401
     0.952         0.185         0.412
     0.710         0.733         0.115
     0.882         0.015         0.613
     0.073         0.121         0.901
     0.714         0.778         0.289
     0.922         0.036         0.659
     0.618         0.455         0.511
     0.066         0.836         0.443
